Make,Model,Trim/Variant,Generation/Chassis Code,Years of Production,Displacement,Cylinder Configuration,Power
BMW,1 Series,116i,E81/E82/E87/E88,2004–2011,1.6–2.0L,I4,114–127 hp
BMW,1 Series,118i,F20/F21,2012–2019,1.6–2.0L,I4,125–170 hp
Audi,A3,1.6 TDI,8P,2005–2013,1.6L,I4 Diesel,105 hp
Fiat,Panda,1.2,169,2005–2012,1.2L,I4,60–75 hp
Alfa Romeo,,,,2005–2025,,,
Audi,,,,2005–2025,,,
BMW,,,,2005–2025,,,
CUPRA,,,,2005–2025,,,
Fiat,,,,2005–2025,,,
Ford,,,,2005–2025,,,
Honda,,,,2005–2025,,,
Hyundai,,,,2005–2025,,,
Jaguar,,,,2005–2025,,,
Kia,,,,2005–2025,,,
Land Rover,,,,2005–2025,,,
Mazda,,,,2005–2025,,,
Mercedes,,,,2005–2025,,,
Mini,,,,2005–2025,,,
Nissan,,,,2005–2025,,,
Peugeot,,,,2005–2025,,,
Porsche,,,,2005–2025,,,
Renault,,,,2005–2025,,,
Seat,,,,2005–2025,,,
Vauxhall,,,,2005–2025,,,
Toyota,,,,2005–2025,,,
Volkswagen,,,,2005–2025,,,
Volvo,,,,2005–2025,,,
